Adjusted_net_national_income_per_capita__current_US__.png,"The graph shows the adjusted net national income per capita of selected countries from 1981 to 2021, expressed in current US dollars. Majority of the countries have missing information. Most counries consistently reported low values except for Singapore, Sweden, Austria, Germany, and Israel. Most countries also generally had an upward trend in adjusted net national income per capita, where Singapore, Sweden, Austria, and Germany also had the highest values by 2021."
Adjusted_net_savings__excluding_particulate_emission_damage____of_GNI_.png,"The graph shows the adjusted net savings excluding particulate emission damage of selected countries from 1990 to 2021, expressed in percentage of GNI. Some countries have missing information, specifically Suriname having sparse data. The lowest adjusted net savings were reported by Solomon Islands and Kuwait (1990 to 1992). The highest adjusted net savings was reported by Suriname (2005 to 2010). Values were inconsistent and varies between countries, but majority of the reported adjusted net savings are between 5% to 40% of the country's GNI."
Adjusted_net_savings__excluding_particulate_emission_damage__current_US__.png,"The graph shows the adjusted net savings excluding particulate emission damage of selected countries from 1990 to 2021, expressed in current US dollars. Some countries such as Iceland and Zambia have sparse data. The lowest adjusted net savings were consistently reported by all countries except United States. The highest adjusted net savings was reported by United States from 2014 to 2019."
Adjusted_net_savings__including_particulate_emission_damage____of_GNI_.png,"The graph shows the adjusted net savings including particulate emission damage of selected countries from 1990 to 2021, expressed in percentage of GNI. Majority of the countries have missing information. The lowest adjusted net savings were reported by Lebanon (2002 to 2004, 2011 to 2021), and Gabon (1990 to 1995). The highest adjusted net savings were reported by Libya (2005 to 2010), Bhutan (2005 to 2013), and Brunei (2008 to 2021). Values were inconsistent and varies between countries."
Adjusted_net_savings__including_particulate_emission_damage__current_US__.png,"The graph shows the adjusted net savings including particulate emission damage of selected countries from 1990 to 2021, expressed in current US dollars. Some countries have missing information, specifically Sudan, Myanmar, and Syria having sparse data. Majority of the countries consistenly reported the lowest values, such as Russia, Singapore, Algeria, France, Saudi Arabia, Indonesia, Japan, Germany, and India.The highest adjusted net savings were reported by Japan (1996 to 1998), Germany (2011 to 2021), and India (2018 to 2019)."
Adjusted_savings__carbon_dioxide_damage____of_GNI_.png,"The graph shows the cost of damage due to carbon dioxide emissions of selected countries from 1990 to 2021, expressed in percentage of GNI. Countries such as Palestine, Montenegro, Tuvalu, and Bermuda have missing data. Most countries consistently reported the lowest value except Belarus (1996 to 2001), Iran (2017 to 2021), Turkmenistan (1990 to 2011, 2017 to 2021), and Azerbaijan (1990 to 2001). The highest value was reported by Azerbaijan (1990 to 1995)."
Adjusted_savings__carbon_dioxide_damage__current_US__.png,"The graph shows the cost of damage due to carbon dioxide emissions of selected countries from 1990 to 2021, expressed in current US dollars. Only Palestine has missing data (1990 to 1996). Most countries consistently reported the lowest value except Germany (1996 to 2021), Argentina (2010 to 2021), Italy (1990 to 2021), UAE (2010 to 2021), and Spain (2004 to 2021). The highest value was reported by Germany (2004 to 2021)."
Adjusted_savings__consumption_of_fixed_capital____of_GNI_.png,"The graph shows the adjusted savings consumption of fixed capital of selected countries from 1970 to 2021, expressed in percentage of GNI. Countries such as Timor-Leste, Libya, and Cayman Islands have sparse data. The lowest values were consistently reported by Haiti, Timor-Leste, Kiribati, Burkina Faso, and Mauritania. The highest percentages were reported by Latvia (1994 to 2017) and Poland (1990 to 1993). Trends are inconsistent and varies between countries."
Adjusted_savings__consumption_of_fixed_capital__current_US__.png,"The graph shows the adjusted savings consumption of fixed capital of selected countries from 1970 to 2021, expressed in current US dollars. Some countries have missing information, specifically Cayman Islands having sparse data. Most countries consistently reported the lowest values except Brazil (2008 to 2021), Australia (2008 to 2021), and Germany (1996 to 2021). The highest values was reported by Germany (2008 to 2021)."
Adjusted_savings__education_expenditure____of_GNI_.png,"The graph shows the education expenditures of selected countries from 1970 to 2021, expressed in percentage of GNI. Most countries consistently reported expenditures of less than 7% except Eswatini (2014 to 2021), Guyana (1980 to 1984), American Samoa (1970 to 2021), Congo (1975 to 1979), and Denmark (1995 to 2004, 2010 to 2013). The highest expenditures relative to the country's GNI were reported by American Samoa (1970 to 2021). Values are inconsistent and varies between countries."
Adjusted_savings__education_expenditure__current_US__.png,"The graph shows the education expenditures of selected countries from 1970 to 2021, expressed in current US dollars. Some countries have missing information. Most countries consistently reported the lowest values (< 28.1 billion) except Sweden (2007 to 2021) and France (1987 to 2021). The highest expenditures relative to the country's GNI were reported by France (2007 to 2021)."
Adjusted_savings__energy_depletion____of_GNI_.png,"The graph shows the energy depletion of selected countries from 1971 to 2021, expressed in percentage of GNI. Some countries have missing information. Most countries consistently reported the lowest values (< 4%) except Yemen, Ecuador, Vietnam, and Algeria. The highest value was reported by Yemen (1994 to 2007)."
Adjusted_savings__energy_depletion__current_US__.png,"The graph shows the energy depletion of selected countries from 1970 to 2021, expressed in current US dollars. Some countries have missing information, specifically South Sudan having sparse data. Most countries consistently reported the lowest values (< 5.31 billion) except Thailan, Argentina, UAE, Malaysia, Equatorial Guinea, and Azerbaijan. The highest value was reported by UAE (2010 to 2013)."
Adjusted_savings__gross_savings____of_GNI_.png,"The graph shows the gross savings of selected countries from 1977 to 2021, expressed in percentage of GNI. Some countries reported missing information. The lowest values (< 4%) were reported by Kiribati (2001 to 2007) and Zimbabwe (1977 to 2000, 2008 to 2014). The highest values (> 35%) were reported by Kiribati (1977 to 1992) and Bhutan (2001 to 2014). The trends of the values are inconsistent and varies between countries."
Adjusted_savings__mineral_depletion____of_GNI_.png,"The graph shows the mineral depletion of selected countries from 1970 to 2021, expressed in percentage of GNI. Countries such as Turks and Caicos Islands, and Nauru have sparse data. Most countries consistently reported the lowest values (< 1%) except Australia, Solomon Islands, South Africa, Jamaica, and Mauritania. Mauritania also reported the highest values from 2005 to 2013."
Adjusted_savings__mineral_depletion__current_US__.png,"The graph shows the mineral depletion of selected countries from 1970 to 2021, expressed in current US dollars. Most countries consistently reported the lowest values (< 2.26 billion) except Kazakhstan, Uzbekistan, Russia, Peru, and Chile. Chile also reported the highest values from 2004 to 2021."
Adjusted_savings__natural_resources_depletion____of_GNI_.png,"The graph shows the natural resources depletion of selected countries from 1971 to 2021, expressed in percentage of GNI. Most countries consistently reported the lowest values (< 6%) except Laos, Colombia, Malawi, Madagascar, Turkmenistan, and Chad. Turkmenistan also reported the highest values from 1998 to 2005."
Adjusted_savings__net_forest_depletion____of_GNI_.png,"The graph shows the net forest depletion of selected countries from 1970 to 2021, expressed in percentage of GNI. Some countries have missing information, specifically Turkmenistan having sparse data. Most countries consistenty reported the lowest values except Bahamas (1970 to 1974), Solomon Islands (2002 to 2005), Haiti (1985 to 2021), Armenia (2010 to 2013), and Uruguay (1970 to 1997). Haiti also reported the highest value from 1980 to 1984, and consistently was one of, if not the highest every period in net forest depletion relative to their GNI."
Adjusted_savings__net_forest_depletion__current_US__.png,"The graph shows the net forest depletion of selected countries from 1970 to 2021, expressed in current US dollars. Countries such as South Sudan, Timor-Leste, Uzbekistan, Bosnia and Herzegovina, and Kazakhstan have missing information. Most countries consistenty reported the lowest values except Uganda (1994 to 2021) and Kenya (2006 to 2021). Uganda also reported the highest value from 2014 to 2017, and consistently was the highest from 1994 to 2021."
Adjusted_savings__net_national_savings____of_GNI_.png,"The graph shows the net national savings of selected countries from 1977 to 2021, expressed in percentage of GNI. Some countries have missing data. The lowest values (< -12%) were reported by Mali (1981 to 1984) and Kuwait (1989 to 1992). The highest values (> 40%) were reported by Kuwait (1977 to 1984, 2005 to 2012), Saudi Arabia (2005 to 2008), and Libya (2005 to 2008). Values were inconsistent and varies between countries."
Adjusted_savings__net_national_savings__current_US__.png,"The graph shows the net national savings of selected countries from 1977 to 2021, expressed in current US dollars. Countries such as Samoa, Eritrea, and Guyana have sparse data. Most countries consistent reported the lowest values (< 558 billion) except China. China reported the highest values (> 2.24 trillion) from 2014 to 2021, and consistently was the highest starting from 2006."
Adjusted_savings__particulate_emission_damage____of_GNI_.png,"The graph shows the particulate emission damage of selected countries from 1990 to 2021, expressed in percentage of GNI. Israel and Montenego have missing data. Majority of the countries reported the lowest values ( < 1%). The highest values (> 6%) were reported by Niger (1990 to 1998) and Rwanda (1990 to 1992). There is generally a downward trend in the values, where all countries' particulate emission damage are less than 3% by 2011."
Adjusted_savings__particulate_emission_damage__current_US__.png,"The graph shows the particulate emission damage of selected countries from 1990 to 2021, expressed in current US dollars. The US Virgin Islands and Timor-Leste have missing data. Majority of the countries reported the lowest values ( < 530 million) except Thailan, Canada, Bangladesh, Iran, Tanzania, and Italy. The highest values (> 2.11 billion) were reported by Bangladesh (2016 to 2021) and Iran (2010 to 2012). Trends are inconsistent and varies between countries."
Adolescent_fertility_rate__births_per_1_000_women_ages_15_19_.png,"The graph shows the adolescent fertility rate of selected countries from 1960 to 2022, expressed in births per 1000 women in ages between 15-19. There is generally a downward trend, but values remain high for countries such as Equatorial Guinea and Madagascar even by 2022. Montenegro, Cyprus, Finland, Switzerland, Italy, and Japan consistently reported the lowest values. The highest fertility rates were reported by Qatar, Saint Kitts and Nevis, and Guatemala from 1960 to 1965, Yemen from 1978 to 1989, Equatorial Guinea from 1960 to 2017, and Madagascar from 1960 to 1977."
Adolescents_out_of_school____of_lower_secondary_school_age_.png,"The graph shows the rate of out of school adolescents of selected countries from 1999 to 2022, expressed in percentage of adolescents that are of lower secondary school age. Countries such as Nauru, Tunisia, Angola, Guinea-Bissau, Benin, and Central African Republic have sparse or no data. The lowest values were consistently reported by Denmark, Switzerland, Austria, Belarus, Barbado, and Spain. The highest values were reported by Mauritania (2001 to 2008), Guinea-Bissau (1999 to 2000), and the Central African Republic ( 2009 to 2012, 2017 to 2018). The trends and values are inconsistent and varies between countries."
Adolescents_out_of_school__female____of_female_lower_secondary_school_age_.png,"The graph shows the rate of out of school female adolescents of selected countries from 1999 to 2022, expressed in percentage of female adolescents that are of lower secondary school age. Countries such as Georgia, Senegal, and Solomon Islands have sparse or no data. The lowest values were consistently reported by most countries except Jordan, Bangladesh, Cambodia, Central African Republica, Senegal, Guinea, and Bhutan. The highest values were reported by Cambodia and Guinea (1999 to 2009)."
Adolescents_out_of_school__male____of_male_lower_secondary_school_age_.png,"The graph shows the rate of out of school male adolescents of selected countries from 1999 to 2022, expressed in percentage of male adolescents that are of lower secondary school age. Countries such as Iraq, Aruba, Zimbabwe, Ireland, and Congo have sparse or no data. The lowest values were consistently reported by majority of the countries such as Russia and Colombia. The highest values were reported by Chad, Syria, and Mali. By 2022, Syria still has the highest rate of male adolescents out of school (> 50%)."
Adults__ages_15_49__newly_infected_with_HIV.png,"The graph shows the number of adults between ages 15 to 49 that are newly infected with HIV in selected countries from 1990 to 2022. Most countries consistently reported the lowest values ( < 1860) except Philippines (2019 to 2022) and Malawi (1990 to 2018). The highest values (> 7410) were reported by Malawi from 1990 to 1999. By 2022, the Philippines have the highest number of adults that are newly infected with HIV"
Adults__ages_15___and_children__ages_0_14__newly_infected_with_HIV.png,"The graph shows the number of adults and children that are newly infected with HIV in selected countries from 1990 to 2022. Most countries consistently reported the lowest values (< 4270) except Kenya. Kenya reported the highest value (> 17100) between 1990 to 1995. By 2022, all selected countries reported low number of new infections of HIV."
Adults_with_HIV_____age_15_49_.png,"The graph shows the rate of adults between ages 15 to 49 with HIV in selected countries from 1990 to 2011, expressed in percentages. Yemen, Afghanistan, and Venezuela have sparse data. Most countries consistently reported low rates of HIV in adults except Zambia, Togo, and the Central African Republic. The highest rates of adults with HIV were reported by Zambia from 1990 to 2011. Only the Central African Republic showed a downward trend in the rates of adults with HIV."
Age_dependency_ratio____of_working_age_population_.png,"The graph shows the age dependency ratio of selected countries from 1960 to 2023, expressed in percentage of the working-age population. The lowest values were reported by China (2004 to 2013), Oman (2014 to 2023), UAE (1993 to 2023), and Cayman Islands (1993 to 2023). On the other hand, the highest values were reported by Mali (1993 to 2003, 2014 to 2023), Samoa (1960 to 1981), Philippines (1960 to 1970), Zimbabwe (1960 to 1992), and UAE (1960 to 1992). The trends are generally downward but may vary between countries."
Age_dependency_ratio__old____of_working_age_population_.png,"The graph shows the old age dependency ratio of selected countries from 1960 to 2023, expressed in percentage of the working-age population. The lowest values were consistently reported in some countries such as Rwanda and Gambia, and were usually observed between 1960 and 1998. The highest values were all observed between 2012 to 2023 and includes 8 out of 28 countries. The trends are generally upward with few exceptions such as Gabon."
Age_dependency_ratio__young____of_working_age_population_.png,"The graph shows the young age dependency ratio of selected countries from 1960 to 2023, expressed in percentage of the working-age population. The lowest values were consistently reported by Latvia, but was also reported by countries such as Ukraine, Switzerland, and Australia. The highest values were reported by the French Polynesia (1967 to 1973), South Sudan (1981 to 2005, 2018 to 2023), Benin (1974 to 2005), Burundi (1960 to 2005, 2017 to 2023), and Angola (1967 to 2023). The trends are generally downward but may vary between countries."
Aged_15_24_employment_rate____.png,"The graph shows the employment rate for people aged between 15 to 24 in selected countries from 1991 to 2019, expressed in percentages. Most of the recorded data show low employment rates (< 38%). The highest employment rates (> 58%) were reported in Vietnam (1994 to 2005) and Malawi (2012 to 2015). The trends are generally downward but may vary between countries."
Aged_15_24_unemployment_rate____.png,"The graph shows the unemployment rate of people aged between 15 to 24 in selected countries from 2005 to 2020, expressed in percentages. Countries such as Guam, Marshall Islands, and Nauru have sparse or no recorded data. Most of the recorded data show low unemployment rates (< 23%). The highest unemployment rates (> 44%) were reported in Greece 2011 to 2016) and Kiribati (2009 to 2010). The trends are inconsistent and may vary between countries."
Aged_15_64_labour_force_participation_rate____.png,"The graph shows the labour force participation rate of adults aged between 15 to 64 of selected countries from 1990 to 2019, expressed in percentages. The lowest participation rates (< 53%) were consistently reported by Algeria, Iran, and Lebanon, but was also reported by Eswatinin between 2000 to 2011.The highest participations rates (> 79%) were consistently reported by North Korea and Nepal, but was also reported by Eritrea (1990 to 1999, 2012 to 2019) and Azerbaijan (1990 to 2003). The trends are generally inconsistent and may vary between countries."
Aged_15__employment_rate____.png,"The graph shows the employment rate of people aged 15 and above in selected countries from 1991 to 2020, expressed in percentages. The lowest employment rates (< 40%) were reported by South Africa (1991 to 2005, 2011 to 2020) and Palestine (1991 to 2020). The highest employment employment rates (> 75%) were consistently reported by Solomon Islands, Mozambique, and Qatar but was also reported by Cameroon between 1991 to 2010."
Aged_15__labour_force_participation_rate____.png,"The graph shows the labour force participation rate of people aged 15 and above in selected countries from 1990 to 2020, expressed in percentages. The lowest participation rates (< 47%) were reported by Turkey, Tunisia, Puerto Rico, Gabon, and Jordan. The highest employment rates (> 71%) were consistently reported by Iceland, Zambia, and Malawi but was also reported by Lesotho (1990 to 2002) and Kenya (1990 to 1999, 2015 to 2020). The trends are inconsistent and may vary between countries."
Aged_15__unemployment_rate____.png,"The graph shows the unemployment rate of people aged 15 and above in selected countries from 1991 to 2019, expressed in percentages. Tuvalu, South Sudan, and Micronesia have sparse recorded data. Most of the recorded data show low unemployment rates (< 15%) for majority of the countries. High unemployment rates were recorded in North Macedonia (1991 to 2017) and Algeria (1994 to 1996). The trends are generally inconsistent and may vary between countries."
Aged_25_54_labour_force_participation_rate____.png,"The graph shows the labour force participation rate of adults aged between 25 to 54 of selected countries from 1990 to 2019, expressed in percentages. The lowest participation rates (< 56%) were consistently reported in Iraq and were also observed in Yemen (1990 to 1993, 2002 to 2019) and Moldova (2011 to 2019). The highest participation rates (> 84%) were consistently reported in Angola and Kazakhstan and were also observe in Uganda (2011 to 2019), Greece (2014 to 2019), and Ukraine (1990 to 2001). The trends are generally upward but may vary between countries."
Aged_25_54_unemployment_rate____.png,"The graph shows the unemployment rate of adults aged between 25 to 54 of selected countries from 1990 to 2019, expressed in percentages. Countries such as Marshall Islands, Saint Vincent and the Grenadines, New Caledonia, and Sudan have sparse or no recorded data. Most countries low to average unemployment rates (0% to 14%), with exceptions such as Montenegro, Spain, Antigua, Kiribati, Cabo Verde, and Sudan. The highest unemployment rates were reported in Montenegro (2011 to 2012), Spain (2011 to 2015), Kiribati (2009 to 2010), and Cabo Verde (2015 to 2016). The trends are inconsistent and may vary between countries."
Aged_55_64_unemployment_rate____.png,"The graph shows the unemployment rate of adults aged between 55 to 64 of selected countries from 2005 to 2019, expressed in percentages. Timor-Leste, Cameroon, Congo, and Cuba have sparse data. The lowest unemployment rates (< 1%) were consistently reported by Indonesia and Saudi Arabia, but were also observed in countries such as Timor-Leste, Pakistan, Honduras, and Norway. Thie highest unemployment rates (> 5%) were observed in Pakistan (2018 to 2019), Malta (2014 to 2015), Cayman Islands (2010 to 2013), and Venezuela (2005 to 2007)."
Aged_65__labour_force_participation_rate____.png,"The graph shows the labour force participation rate of adults aged 65 and above of selected countries from 1990 to 2019, expressed in percentages. Timor-Leste and Chad consistently had the highest partipation rates (> 56%), whereas Barbados, North Macedonia, Germany, Australia, Hong Kong, and Netherlands had the lowest participation rates (< 15%). Majority of the countries maintained their labour force participation rates throughout the period."
Agricultural_irrigated_land____of_total_agricultural_land_.png,"The graph shows the area of the agricultural irrigated land of selected countries from 2003 to 2020, expressed in percentage of the country's total agricultural land. Seychelles, Venezuela, and Brazil have sparse data. Most countries reported low values (< 6%) with exceptions such as Spain and Netherlands. The highest values (> 13%) were reported by Spain (2013 to 2020) and Netherlands (2017 to 2020)."
Agricultural_land____of_land_area_.png,"The graph shows the area of agricultural land of selected countries from 1961 to 2021, expressed in percentage of the country's land area. Some countries have missing information. Countries such as Kuwait, Russia, Peru, Myanmar, and Iceland consistenly reported low values (< 22%). The highest values (> 66%) were reported in Kazakhstan (1989 to 2021) and Syria (1961 to 2021). The trends are inconsistent and may differ between countries."
Agricultural_land__sq__km_.png,"The graph shows the area of agricultural land of selected countries from 1961 to 2021, expressed in square kilometers. Most countries consistently reported the lowest values (< 27,400 sq. km.) except Indonesia, Sudan, France, Algeria, Turkey, and Niger. Sudan had the highest values (> 110,000 sq. km.) starting 1967 and was consistently the highest throughout. The area of agricultural land remains relatively the same for most countries, with exceptions such as Indonesia and Sudan."
Agricultural_machinery__tractors.png,"The graph shows the number of agricultural machinery (tractors) of selected countries from 1961 to 2005. Some countries have missing information. Most countries reported low number of tractors (2 to 4920) with exceptions such as Germany, Brazil, Canada, and India. India reported the highest number of tractors (> 197,000) between 1998 to 2005. The number of tractors either stayed relatively the same or increased in all of the selected countries."
Agricultural_machinery__tractors_per_100_sq__km_of_arable_land.png,"The graph shows the number of agricultural machinery (tractors) per 100 sq. km. of arable land of selected countries from 1961 to 2005. Some countries have missing information. Most countries reported low number of tractors (0 to 491) with exceptions such as Austria, Sao Tome and Principe, Spain, Malysia, Poland, Luxembourg, and Saint Vincent and the Grenadines. Austria consistently had the highest number of tractors per 100 sq. km. of arable land, reaching up to 2,458 tractors. The number of tractors either stayed relatively the same or increased in all of the selected countries."
Agricultural_methane_emissions____of_total_.png,"The graph shows the agricultural methane emissions of selected countries from 1970 to 2008, expressed in percentage of total methane emissions. Some countries have missing information. The lowest values (< 18%) were consistently reported by Libya, Equatorial Guinea, US Virgin Islands, and Kuwait, as well as Ivory Coast between 1970 to 1983 and 1991 to 2002. New Zealand consistently reported the highest values (> 72%), as well as Belarus, Denmark, Lithuania, Tajikistan, and Tanzania. The trends were generally inconsistent and varies between countries."
Agricultural_methane_emissions__thousand_metric_tons_of_CO2_equivalent_.png,"The graph shows the agricultural methane emissions of selected countries from 1990 to 2020, expressed in thousand metric tons of CO2 equivalent. Low values (< 9987) were consistently reported by most countries except Burkina Faso, Turkey, Uruguay, and Zambia. The highest values (> 20,000) were recorded by Turkey (1990 to 1992, 2014 to 2020) and Uruguay (2005 to 2010). Both countries were also consistently the highest in agricultural methane emissions among the selected countries."
Agricultural_nitrous_oxide_emissions____of_total_.png,"The graph shows the agricultural nitrous oxide emissions of selected countries from 1970 to 2008, expressed in percentage of total nitrous oxide emissions. Some countries have missing information. The lowest values (< 19%) were reported by Bermuda (1975 to 1989), Norway (1970 to 1979), Kuwait (1970 to 1989), and Marshall Islands (1970 to 1989). The highest values (> 76%) were consistently reported by Lesotho, Faroe Islands, Ecuador, Argentina, Guyana, Thailand, and the British Virgin Islands. The trends are generally upward but may vary between countries."
Agricultural_nitrous_oxide_emissions__thousand_metric_tons_of_CO2_equivalent_.png,"The graph shows the agricultural nitrous oxide emissions of selected countries from 1990 to 2020, expressed in thousand metric tons of CO2 equivalent. Most countries consistently reported low values (< 71,100) with the exception of China. China consistently has the highest agricultural nitrous oxide emissions, reaching up to 356,000 thousand metric trons."
Agricultural_raw_materials_exports____of_merchandise_exports_.png,"The graph shows the agricultural raw materials exports of selected countries from 1965 to 2023, expressed in percentage of merchandise exports. Majority of countries have missing information, with some having sparse data. Most countries consistently reported low values (< 12%) except Equatorial Guinea, Burkina Faso, Guinea-Bissau, Cameroon, Timor-Leste, Turkmenistan, and Eritrea. The highest values (> 51%) were reported by Burkina Faso between 1993 to 2008."
Agricultural_raw_materials_imports____of_merchandise_imports_.png,"The graph shows the agricultural raw materials imports of selected countries from 1965 to 2023, expressed in percentage of merchandise imports. Majority of countries have missing information, with some having sparse data. Most countries consistently reported low values (< 5%) except Hungary, Poland, United States, and Belgium. The highest values (> 9%) were reported by Hungary between 1965 to 1986. The trend of agricultural raw materials imports is generally downward with exceptions such as Tajikistan."
Agriculture____of_GDP_.png,"The graph shows the percentage of GDP that is attributed to agriculture in selected countries from 1975 to 2022. Majority of the countries have missing information. Most countries have agriculture occupy between 0% to 22% of their GDP, with exceptions such as Nigeria, Myanmar, Haiti, Turkey, Benin, and Thailan. The highest values (> 45%) are recorded by Myanmay (1996 to 2002) and Benin (1989 to 1995). There is generally a downward trend observed in how much percentage of the country's GDP is attributed to their agricultural sector."
